ResearchNumber,SealNumber,State,Species,DeathLocation,DateCollected,SampleType,Sex,AgeClass,Notes
,2111553,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2112478,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2169739,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,F,NA,
,2138655,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2170243,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,237624,Maine,Odocoileus virginianus,NA,NA,Lymph Node,NA,NA,
,2167494,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,F,NA,
,2161963,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2137671,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2161995,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2161904,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2168610,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2142248,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2122905,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,F,NA,
,2161950,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2137011,Maine,Odocoileus virginianus,Wayne,NA,Lymph Node,F,NA,
,2148073,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,F,NA,
,2164733,Maine,Odocoileus virginianus,Newcastle,NA,Lymph Node,M,NA,
,2110240,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2153264,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2167402,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2131040,Maine,Odocoileus virginianus,Ripley,NA,Lymph Node,M,NA,
,2141280,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2160529,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2153086,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2135621,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2141793,Maine,Odocoileus virginianus,Chelsea,NA,Lymph Node,M,NA,
,2141333,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,F,NA,
,2161363,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,F,NA,
,21501030,Maine,Odocoileus virginianus,China,NA,Lymph Node,NA,NA,
,2122218,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2153483,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,F,NA,
,2111395,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
,2141337,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2117780,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2136854,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,F,NA,
,2138326,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2141161,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2136857,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2156146,Maine,Odocoileus virginianus,Glenburn,NA,Lymph Node,F,NA,
,2160330,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2111399,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
,2168582,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2160534,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2135376,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2167502,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2149648,Maine,Odocoileus virginianus,Rockland,NA,Lymph Node,F,NA,
,2135522,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2161346,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2157414,Maine,Odocoileus virginianus,Searsmont,NA,Lymph Node,F,NA,
